qid,pid,relevance,query_len,doc_len,query_avg_tf,passage_uniq_ratio,query_doc_len_ratio,term_overlap,keyword_density,exact_match,jaccard_similarity,term_overlap_bigram,first_occurrence_rank,tfidf_cosine,bm25_score,idf_sum,avg_idf_of_overlap_terms,tf_idf_sum_overlap,dwell_time_proxy,ctr
9652,965200,1,4,63,1.0,0.6984126984126984,0.0625,2,0.03174603174552784,0,0.043478260869565216,0,0.015873015873015872,0.3056072,0.77006364,25.32394981876942,6.695806675142839,-32.80928592700449,4.1588830833596715,0.16666666666666666
9652,965201,0,4,48,1.0,0.6875,0.08163265306122448,2,0.041666666665798616,0,0.05714285714285714,0,0.020833333333333332,0.13280568,0.7827349,25.32394981876942,4.609713150649822,-22.59056502988134,3.8918202981106265,0.16666666666666666
9652,965202,0,4,81,1.0,0.7407407407407407,0.04878048780487805,3,0.03703703703657979,0,0.04918032786885246,0,0.037037037037037035,0.3772816,1.1538389,25.32394981876942,6.545496456013486,-55.823134831199,4.406719247264253,0.16666666666666666
9652,965203,0,4,54,1.0,0.7592592592592593,0.07272727272727272,3,0.05555555555452675,0,0.07142857142857142,0,0.018518518518518517,0.35334983,1.4304554,25.32394981876942,7.263994656066248,-60.807274219680885,4.007333185232471,0.16666666666666666
9652,965204,0,4,56,1.0,0.8035714285714286,0.07017543859649122,2,0.03571428571364796,0,0.0425531914893617,0,0.35714285714285715,0.13699578,0.80027163,25.32394981876942,4.609713150649822,-21.50158760128356,4.04305126783455,0.16666666666666666
9652,965205,0,4,46,1.0,0.7391304347826086,0.0851063829787234,2,0.04347826086862004,0,0.05555555555555555,1,0.021739130434782608,0.549614,1.039289,25.32394981876942,7.77355397522198,-23.991648764653068,3.8501476017100584,0.16666666666666666
9653,965300,0,5,99,1.0,0.6666666666666666,0.05,1,0.01010101010090807,0,0.014285714285714285,0,0.24242424242424243,0.15257494,0.2753751,25.036131339671897,9.608333071434092,-34.54310895191441,4.605170185988092,0.125
9653,965301,1,5,79,1.0,0.6708860759493671,0.0625,0,0.0,0,0.0,0,1.0,0.0,0.0,25.036131339671897,0.0,0.0,4.382026634673881,0.125
9653,965302,0,5,66,1.0,0.8333333333333334,0.07462686567164178,1,0.015151515151285582,0,0.01694915254237288,0,0.10606060606060606,0.3148298,0.44371533,25.036131339671897,9.608333071434092,-23.987276166069243,4.204692619390966,0.125
9653,965303,0,5,101,1.0,0.6732673267326733,0.049019607843137254,4,0.03960396039564749,0,0.057971014492753624,1,0.0297029702970297,0.27895167,1.348461,25.036131339671897,5.3131216174718245,-67.77100071548612,4.624972813284271,0.125
